index,filename,time,temperature_K,pressure_GPa,cluster,PC1,PC2
263,seq_0261,2022-07-31 15:01:13,300.15,4.11,1,3.311295,27.440649
264,seq_0262,2022-07-31 15:02:14,300.15,4.03,1,3.5949283,27.956825
265,seq_0263,2022-07-31 15:03:14,300.15,3.96,1,2.5232553,27.251469
266,seq_0264,2022-07-31 15:04:13,300.15,3.88,1,2.5442722,29.047096
267,seq_0265,2022-07-31 15:05:14,300.15,3.81,1,2.0848224,30.511417
268,seq_0266,2022-07-31 15:06:13,300.15,3.73,1,1.6286176,29.304419
269,seq_0267,2022-07-31 15:07:14,300.15,3.66,1,1.0999242,30.44357
270,seq_0268,2022-07-31 15:08:14,300.15,3.58,1,0.20989877,31.06637
271,seq_0269,2022-07-31 15:09:14,300.15,3.51,1,0.6559006,32.71959
272,seq_0270,2022-07-31 15:10:14,300.15,3.43,1,0.45402166,33.402416
273,seq_0271,2022-07-31 15:11:13,300.15,3.36,1,0.65706176,34.381157
274,seq_0272,2022-07-31 15:12:14,300.15,3.28,1,-0.8746497,33.709923
275,seq_0273,2022-07-31 15:13:13,300.15,3.21,1,-0.8928003,33.917904
276,seq_0274,2022-07-31 15:14:13,300.15,3.13,1,-1.8764565,34.695667
277,seq_0275,2022-07-31 15:15:13,300.15,3.06,1,-2.2230296,34.033646
278,seq_0276,2022-07-31 15:16:14,300.15,2.98,1,-4.152406,35.047714
279,seq_0277,2022-07-31 15:17:13,300.15,2.91,1,-4.507715,34.067184
280,seq_0278,2022-07-31 15:18:14,300.15,2.83,1,-4.640159,36.264
281,seq_0279,2022-07-31 15:19:13,300.15,2.76,1,-5.668156,37.578304
282,seq_0280,2022-07-31 15:20:14,300.15,2.68,1,-6.8393736,37.038967
283,seq_0281,2022-07-31 15:21:14,300.15,2.61,1,-6.8006034,38.4888
284,seq_0282,2022-07-31 15:22:14,300.15,2.53,1,-8.604302,39.01861
285,seq_0283,2022-07-31 15:23:13,300.15,2.46,1,-8.618831,39.13749
286,seq_0284,2022-07-31 15:24:14,300.15,2.38,1,-9.454458,39.768192
287,seq_0285,2022-07-31 15:25:14,300.15,2.31,1,-11.425111,39.66104
288,seq_0286,2022-07-31 15:26:14,300.15,2.23,1,-12.072648,39.739258
289,seq_0287,2022-07-31 15:27:14,300.15,2.16,0,-13.881508,38.971096
290,seq_0288,2022-07-31 15:28:14,300.15,2.08,0,-14.004898,40.024773
291,seq_0289,2022-07-31 15:29:14,300.15,2.01,0,-15.4531,39.903587
292,seq_0290,2022-07-31 15:30:14,300.15,1.93,0,-15.493942,40.557663
293,seq_0291,2022-07-31 15:31:14,300.15,1.86,0,-16.247866,41.563225
294,seq_0292,2022-07-31 15:32:14,300.15,1.78,0,-17.419222,41.88874
295,seq_0293,2022-07-31 15:33:14,300.15,1.71,0,-18.407787,42.476974
296,seq_0294,2022-07-31 15:34:14,300.15,1.63,0,-19.286747,41.75373
297,seq_0295,2022-07-31 15:35:13,300.15,1.56,0,-20.308453,41.89375
298,seq_0296,2022-07-31 15:36:13,300.15,1.48,0,-20.390125,41.34677
299,seq_0297,2022-07-31 15:37:14,300.15,1.41,0,-20.57394,40.71531
300,seq_0298,2022-07-31 15:38:14,300.15,1.33,0,-21.85796,39.59082
301,seq_0299,2022-07-31 15:39:14,300.15,1.26,0,-22.295612,39.45912
302,seq_0300,2022-07-31 15:40:14,300.15,1.18,0,-22.72141,38.15394
303,seq_0301,2022-07-31 15:41:14,300.15,1.11,0,-23.783432,39.65405
304,seq_0302,2022-07-31 15:42:14,300.15,1.03,0,-24.675564,38.54808
305,seq_0303,2022-07-31 15:43:14,300.15,0.96,0,-24.838392,37.74192
306,seq_0304,2022-07-31 15:44:14,300.15,0.88,0,-24.923986,39.50875
307,seq_0305,2022-07-31 15:45:14,300.15,0.81,0,-26.091307,38.544178
308,seq_0306,2022-07-31 15:46:14,300.15,0.73,0,-24.809444,37.201267
309,seq_0307,2022-07-31 15:47:14,300.15,0.66,0,-25.147688,37.732754
310,seq_0308,2022-07-31 15:48:14,300.15,0.58,0,-25.59024,35.830853
311,seq_0309,2022-07-31 15:49:14,300.15,0.51,0,-25.547478,34.41008
312,seq_0310,2022-07-31 15:50:14,300.15,0.43,0,-25.254333,34.44185
313,seq_0311,2022-07-31 15:51:14,300.15,0.36,0,-25.058296,33.82948
314,seq_0312,2022-07-31 15:52:13,300.15,0.28,0,-25.484003,32.51562
315,seq_0313,2022-07-31 15:53:14,300.15,0.21,0,-25.191437,31.06305
316,seq_0314,2022-07-31 15:54:14,300.15,0.13,0,-24.682602,29.694172
317,seq_0315,2022-07-31 15:55:14,300.15,0.06,0,-24.87688,30.481503
318,seq_0316,2022-07-31 15:56:14,300.15,0.0,0,-23.868534,30.23449
